Biot,Thermal Expansion of Solid,Thermal Expansion Difference,Bulk Modulus,Skempton,Shear Modulus,Poisson Ratio,Thermal Filtration,Thermal Osmosis,Thermal Conductivity,Permeability,Specific Heat,Fluid Diffusivity,Thermal Diffusivity,Fluid Thermal Diffusivity,Thermal Fluid  Diffusivity,Diagnal Ratio,Off Diagnal Ratio,Case
0.88092,0.0013089,8.11E-05,1.51E+10,0.96071,2.28E+10,0.26817,-8.61E-09,-1.18E-20,86.409,5.39E-17,9.56E+06,0.00026974,9.08E-06,447.71,2.89E-14,0.033659,6.44E-17,1
0.71054,0.00050815,0.00088185,1.09E+10,0.6337,2.05E+10,0.29559,-7.71E-09,-1.43E-20,123.99,6.88E-17,3.27E+06,0.00010894,3.82E-05,712.25,4.19E-14,0.35054,5.89E-17,1
0.6281,0.0010044,0.0003856,1.17E+10,0.60218,1.43E+10,0.23154,-2.16E-09,-1.93E-20,92.278,2.54E-17,2.64E+05,4.08E-05,0.00035961,4622.1,1.36E-13,8.8081,2.94E-17,1
0.59156,0.00077713,0.00061287,8.62E+09,0.61363,1.33E+10,0.2302,-1.45E-09,-8.46E-21,147.82,2.59E-18,7.03E+06,3.23E-06,2.10E-05,253.43,6.51E-16,6.5121,2.57E-18,1
0.93092,0.00072733,0.00066267,8.28E+09,0.77086,2.29E+10,0.27054,-5.38E-09,-1.36E-20,148.6,9.89E-17,6.57E+06,0.00018721,2.27E-05,539.9,3.68E-14,0.1213,6.81E-17,1
0.55601,0.0012555,0.00013448,1.49E+10,0.61796,2.21E+10,0.22706,-3.41E-09,-1.71E-20,34.216,1.21E-17,3.82E+06,2.71E-05,8.98E-06,134.11,5.62E-15,0.33143,4.19E-17,1
0.70066,0.001073,0.00031698,1.19E+10,0.66455,1.21E+10,0.23195,-6.23E-09,-6.02E-21,1.5815,4.51E-17,1.50E+06,7.41E-05,1.06E-06,13.926,4.39E-14,0.014249,3.15E-15,0
0.94478,0.00090962,0.00048038,1.60E+10,0.7423,2.24E+10,0.29291,-2.24E-09,-8.90E-21,45.13,8.23E-17,5.83E+06,0.00023338,7.79E-06,254.64,4.68E-14,0.033365,1.84E-16,0
0.65313,0.00062854,0.00076146,1.07E+10,0.90466,1.52E+10,0.22548,-5.53E-09,-9.56E-21,70.784,4.71E-17,8.91E+06,0.00012587,7.97E-06,226.79,1.57E-14,0.063328,6.93E-17,1
0.80011,0.0012401,0.00014985,1.31E+10,0.96196,2.11E+10,0.25203,-3.17E-09,-8.37E-21,174.36,1.03E-17,1.91E+06,4.24E-05,9.28E-05,3520.3,2.24E-14,2.1905,6.37E-18,1
0.7311,0.001012,0.00037797,1.42E+10,0.74628,1.65E+10,0.25107,-2.20E-09,-1.85E-20,38.89,8.11E-17,8.75E+06,0.00019294,4.45E-06,95.833,2.02E-14,0.023085,2.11E-16,0
0.8748,0.0011897,0.00020031,1.04E+10,0.74713,2.07E+10,0.30787,-1.24E-09,-9.61E-21,63.085,6.77E-17,9.47E+06,0.00013761,6.67E-06,148.38,1.61E-14,0.048499,1.08E-16,0
0.58325,0.00047065,0.00091935,9.27E+09,0.66325,1.80E+10,0.28039,-4.40E-09,-1.21E-20,1.892,6.04E-17,4.79E+06,9.49E-05,3.97E-07,7.1421,2.37E-14,0.0041808,3.32E-15,0
0.94931,0.00082765,0.00056235,1.56E+10,0.74802,1.86E+10,0.28865,-3.06E-09,-1.81E-20,172.53,5.36E-17,3.43E+06,0.00014256,5.08E-05,1541.3,4.88E-14,0.35627,3.16E-17,1
0.84951,0.0011853,0.00020472,1.48E+10,0.6822,1.46E+10,0.31495,-5.19E-09,-4.93E-21,176.91,9.68E-17,2.54E+06,0.0002005,6.99E-05,1342,7.55E-14,0.3484,5.63E-17,1
0.62504,0.00051783,0.00087217,1.53E+10,0.94855,1.76E+10,0.25837,-2.39E-09,-1.80E-20,95.95,8.47E-17,6.59E+06,0.00034531,1.47E-05,655.81,5.82E-14,0.042498,8.88E-17,1
0.7931,0.0012184,0.0001716,1.45E+10,0.62235,1.62E+10,0.28935,-6.08E-09,-1.72E-20,77.358,4.44E-17,1.88E+06,7.97E-05,4.13E-05,648.47,4.04E-14,0.51828,6.23E-17,1
0.65259,0.00088729,0.00050271,1.55E+10,0.77012,2.35E+10,0.28766,-5.70E-09,-1.76E-20,176.17,7.60E-17,6.37E+06,0.0002339,2.78E-05,824.23,3.64E-14,0.1188,4.42E-17,1
0.79077,0.0011399,0.00025011,8.01E+09,0.80824,1.25E+10,0.28162,-8.73E-09,-1.01E-20,183.51,6.92E-17,7.61E+06,0.00011698,2.42E-05,397.64,1.61E-14,0.20648,4.06E-17,1
0.66719,0.0012477,0.00014229,1.04E+10,0.71703,1.58E+10,0.30018,-5.88E-09,-7.51E-21,94.177,2.33E-17,4.71E+06,4.29E-05,2.00E-05,299.84,8.68E-15,0.46699,2.90E-17,1
0.79545,0.0011909,0.00019915,1.58E+10,0.90906,2.31E+10,0.22506,-6.75E-09,-1.54E-20,134.56,5.41E-17,1.13E+06,0.00022222,0.00012233,4465.7,1.86E-13,0.5505,4.16E-17,1
0.84595,0.0012737,0.00011627,9.25E+09,0.88673,1.66E+10,0.28099,-2.00E-09,-3.08E-21,157.47,4.39E-17,6.50E+06,0.00011321,2.43E-05,631.98,1.79E-14,0.21492,2.84E-17,1
0.65904,0.0004658,0.0009242,1.17E+10,0.88434,2.21E+10,0.27799,-2.96E-09,-6.04E-21,167.37,5.62E-17,9.07E+05,0.00018092,0.00019364,7012.5,2.39E-13,1.0703,3.41E-17,1
0.71365,0.00070325,0.00068675,1.48E+10,0.84237,2.14E+10,0.24201,-6.50E-09,-7.21E-21,42.989,4.12E-17,2.69E+06,0.00013489,1.62E-05,559.1,5.60E-14,0.11997,1.00E-16,1
0.78803,0.0009908,0.0003992,1.34E+10,0.58773,1.92E+10,0.29102,-7.29E-09,-1.53E-20,106.36,1.44E-17,4.18E+06,2.30E-05,2.55E-05,412.86,7.35E-15,1.1104,1.78E-17,1
0.65212,0.0011398,0.00025016,1.35E+10,0.6325,1.99E+10,0.22519,-5.95E-09,-9.91E-21,185.32,5.51E-17,6.85E+06,0.00010537,2.71E-05,420.55,1.34E-14,0.25692,3.18E-17,1
0.94558,0.00087636,0.00051364,8.20E+09,0.7922,1.60E+10,0.28311,-5.24E-09,-7.13E-21,33.31,2.52E-17,3.58E+06,4.75E-05,9.36E-06,212.63,1.75E-14,0.19724,8.25E-17,1
0.58287,0.001165,0.00022499,9.42E+09,0.92767,1.27E+10,0.24852,-8.42E-09,-6.91E-21,127.1,7.81E-17,4.28E+06,0.00019786,2.98E-05,553.28,3.60E-14,0.15057,6.50E-17,1
